,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
460,GMC Terrain,1.5,4,Auto-9,2WD,Gasoline,small SUV,5.0,26.0,30.0,28.0,6,No
461,GMC Terrain,1.5,4,Auto-9,4WD,Gasoline,small SUV,5.0,24.0,28.0,26.0,5,No
462,GMC Terrain,1.6,4,Auto-6,2WD,Diesel,small SUV,3.0,28.0,39.0,32.0,6,No
463,GMC Terrain,1.6,4,Auto-6,4WD,Diesel,small SUV,3.0,28.0,38.0,32.0,6,No
464,GMC Terrain,2.0,4,Auto-9,2WD,Gasoline,small SUV,5.0,22.0,28.0,24.0,5,No
465,GMC Terrain,2.0,4,Auto-9,4WD,Gasoline,small SUV,5.0,21.0,26.0,23.0,5,No
466,GMC Yukon 1500,5.3,8,Auto-6,2WD,Gasoline,standard SUV,3.0,16.0,23.0,19.0,3,No
467,GMC Yukon 1500,5.3,8,Auto-6,4WD,Gasoline,standard SUV,3.0,16.0,22.0,18.0,3,No
468,GMC Yukon 1500,6.2,8,Auto-10,2WD,Gasoline,standard SUV,3.0,14.0,23.0,17.0,3,No
469,GMC Yukon 1500,6.2,8,Auto-10,4WD,Gasoline,standard SUV,3.0,14.0,22.0,17.0,3,No
470,GMC Yukon 1500 XL,5.3,8,Auto-6,2WD,Gasoline,standard SUV,3.0,16.0,23.0,19.0,3,No
471,GMC Yukon 1500 XL,5.3,8,Auto-6,4WD,Gasoline,standard SUV,3.0,15.0,22.0,18.0,3,No
472,GMC Yukon 1500 XL,6.2,8,Auto-10,2WD,Gasoline,standard SUV,3.0,14.0,23.0,17.0,3,No
473,GMC Yukon 1500 XL,6.2,8,Auto-10,4WD,Gasoline,standard SUV,3.0,14.0,21.0,16.0,2,No
474,HONDA Accord,1.5,4,CVT,2WD,Gasoline,large car,7.0,30.0,38.0,33.0,8,Yes
475,HONDA Accord,1.5,4,Man-6,2WD,Gasoline,large car,6.0,26.0,35.0,30.0,7,Yes
476,HONDA Accord,1.5,4,SCV-7,2WD,Gasoline,large car,7.0,29.0,35.0,31.0,7,Yes
477,HONDA Accord,2.0,4,Auto-10,2WD,Gasoline,large car,7.0,23.0,34.0,27.0,6,No
478,HONDA Accord,2.0,4,CVT,2WD,Gasoline,large car,7.0,47.0,47.0,47.0,10,Elite
479,HONDA Accord,2.0,4,Man-6,2WD,Gasoline,large car,6.0,22.0,32.0,26.0,5,No
480,HONDA Accord 2.0T Sport/Touring,2.0,4,Auto-10,2WD,Gasoline,midsize car,7.0,22.0,32.0,26.0,5,No
481,HONDA CR-V,1.5,4,CVT,2WD,Gasoline,small SUV,5.0,28.0,34.0,30.0,7,Yes
